SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597293,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",S06.369A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563408,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, subsequent encounter",S06.369D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403010,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown",S06.36A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403011,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter",S06.36AA,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403012,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter",S06.36AD,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403014,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown",S06.37A,ICD10CM,[36716581]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403015,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, initial encounter",S06.37AA,ICD10CM,[36716581]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403016,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, subsequent encounter",S06.37AD,ICD10CM,[36716581]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403018,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown",S06.38A,ICD10CM,[36716582]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403019,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, initial encounter",S06.38AA,ICD10CM,[36716582]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403020,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, subsequent encounter",S06.38AD,ICD10CM,[36716582]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572428,Epidural hemorrhage,S06.4,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539464,Epidural hemorrhage,S06.4X,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10584,Epidural hemorrhage without loss of consciousness,S06.4X0,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563418,"Epidural hemorrhage without loss of consciousness, initial encounter",S06.4X0A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597300,"Epidural hemorrhage without loss of consciousness, subsequent encounter",S06.4X0D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10585,Epidural hemorrhage with loss of consciousness of 30 minutes or less,S06.4X1,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45592536,"Epidural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",S06.4X1A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45592537,"Epidural hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter",S06.4X1D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10586,Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes,S06.4X2,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602116,"Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.4X2A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587621,"Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.4X2D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10587,Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes,S06.4X3,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544266,"Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06.4X3A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582829,"Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",S06.4X3D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10588,Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours,S06.4X4,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577906,"Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.4X4A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563419,"Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.4X4D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10589,Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level,S06.4X5,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549088,"Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.4X5A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597301,"Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.4X5D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10590,Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,S06.4X6,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553858,"Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.4X6A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563420,"Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.4X6D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10591,Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,S06.4X7,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577907,"Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.4X7A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534562,"Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",S06.4X7D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10592,Epidural hemorrhage with loss of consciousness of any duration with death due to other causes prior to regaining consciousness,S06.4X8,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563421,"Epidural hemorrhage with loss of consciousness of any duration with death due to other causes prior to regaining consciousness, initial encounter",S06.4X8A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534563,"Epidural hemorrhage with loss of consciousness of any duration with death due to other causes prior to regaining consciousness, subsequent encounter",S06.4X8D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10593,Epidural hemorrhage with loss of consciousness of unspecified duration,S06.4X9,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582830,"Epidural hemorrhage with loss of consciousness of unspecified duration, initial encounter",S06.4X9A,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568257,"Epidural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter",S06.4X9D,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403022,Epidural hemorrhage with loss of consciousness status unknown,S06.4XA,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403023,"Epidural hemorrhage with loss of consciousness status unknown, initial encounter",S06.4XAA,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403024,"Epidural hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.4XAD,ICD10CM,[4306943]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572429,Traumatic subdural hemorrhage,S06.5,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553859,Traumatic subdural hemorrhage,S06.5X,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10594,Traumatic subdural hemorrhage without loss of consciousness,S06.5X0,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606927,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",S06.5X0A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577908,"Traumatic subdural hemorrhage without loss of consciousness, subsequent encounter",S06.5X0D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10595,Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less,S06.5X1,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45573140,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",S06.5X1A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582831,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter",S06.5X1D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10596,Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes,S06.5X2,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577909,"Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.5X2A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577910,"Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.5X2D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10597,Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes,S06.5X3,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597302,"Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06.5X3A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45592539,"Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",S06.5X3D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10598,Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours,S06.5X4,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577911,"Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.5X4A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553860,"Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.5X4D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10599,Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level,S06.5X5,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534565,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.5X5A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549089,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.5X5D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10600,Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,S06.5X6,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582832,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.5X6A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602121,"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.5X6D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10601,Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness,S06.5X7,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602122,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness, initial encounter",S06.5X7A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549090,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness, subsequent encounter",S06.5X7D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10602,Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness,S06.5X8,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577913,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness, initial encounter",S06.5X8A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45573142,"Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness, subsequent encounter",S06.5X8D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10603,Traumatic subdural hemorrhage with loss of consciousness of unspecified duration,S06.5X9,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568258,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",S06.5X9A,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582833,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter",S06.5X9D,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403026,Traumatic subdural hemorrhage with loss of consciousness status unknown,S06.5XA,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403027,"Traumatic subdural hemorrhage with loss of consciousness status unknown, initial encounter",S06.5XAA,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403028,"Traumatic subdural hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.5XAD,ICD10CM,[4017107]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572430,Traumatic subarachnoid hemorrhage,S06.6,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572431,Traumatic subarachnoid hemorrhage,S06.6X,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10604,Traumatic subarachnoid hemorrhage without loss of consciousness,S06.6X0,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534567,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",S06.6X0A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553862,"Traumatic subarachnoid hemorrhage without loss of consciousness, subsequent encounter",S06.6X0D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10605,Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less,S06.6X1,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597304,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",S06.6X1A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606929,"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, subsequent encounter",S06.6X1D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10606,Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes,S06.6X2,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606930,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.6X2A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582834,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.6X2D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10607,Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes,S06.6X3,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563423,"Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06.6X3A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587623,"Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",S06.6X3D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10608,Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours,S06.6X4,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45573143,"Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.6X4A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587624,"Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.6X4D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10609,Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level,S06.6X5,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549091,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.6X5A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45558596,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.6X5D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10610,Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,S06.6X6,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602123,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.6X6A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544268,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.6X6D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10611,Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,S06.6X7,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606931,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.6X7A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602124,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",S06.6X7D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10612,Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,S06.6X8,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539468,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06.6X8A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45558597,"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",S06.6X8D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10613,Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration,S06.6X9,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568259,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter",S06.6X9A,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602125,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, subsequent encounter",S06.6X9D,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403030,Traumatic subarachnoid hemorrhage with loss of consciousness status unknown,S06.6XA,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403031,"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, initial encounter",S06.6XAA,ICD10CM,[4134162]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403032,"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, subsequent encounter",S06.6XAD,ICD10CM,[4134162]
